url,property_type,category,origin
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv40102,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv42400,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv60205,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv60206,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv60216,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv60222,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv60224,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv60288,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv67654,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv72611,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv72612,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv81073,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv81077,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv82223,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv82975,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv86845,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv88506,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv88627,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv88778,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv89542,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv89934,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv92719,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv92763,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv96642,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw02203,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw02206,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw02207,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw02212,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw02334,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw02339,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw03103,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw03895,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw08766,apartment,apartment,search
